dataset,model,instance_idx,method,spearman_mean,spearman_std,mse_mean,mse_std,n_budget,k_runs
adult,ridge,6,dirichlet_strong,0.9132600732600733,0.09023262138332333,0.0005599671867639918,0.0005589553026054796,5000,30
adult,ridge,6,b1_uniform,0.974945054945055,0.014804336439372586,0.00014002676690167036,4.941584277268198e-05,5000,30
adult,ridge,6,b2_stratified,0.9934065934065934,0.004504154182839351,4.7275098220384886e-05,2.7364893310151167e-05,5000,30
adult,ridge,7,abc_corrected,0.9854945054945056,0.012492077753578726,0.0002136977894576064,0.00020583035914669974,5000,30
adult,ridge,7,dirichlet_strong,0.9818315018315019,0.015837736693768967,0.0003409670043793613,0.00031434535828015993,5000,30
adult,ridge,7,b1_uniform,0.9895970695970696,0.006057150654533138,4.9408186902443106e-05,5.789778075909965e-05,5000,30
adult,ridge,7,b2_stratified,0.9967765567765567,0.004670293758390998,1.6654103910767726e-05,1.7905854851819613e-05,5000,30
adult,ridge,8,abc_corrected,0.9683516483516484,0.02219381242931747,0.0008898502881201601,0.0007947389392538831,5000,30
adult,ridge,8,dirichlet_strong,0.9764102564102565,0.010554536828396724,0.000882208152961545,0.0007369209055820392,5000,30
adult,ridge,8,b1_uniform,0.9850549450549451,0.00815263164439182,0.0003060828540659536,0.00018939406560201423,5000,30
adult,ridge,8,b2_stratified,0.9967765567765567,0.0046702937583909775,4.85784994815443e-05,3.229386690114512e-05,5000,30
adult,ridge,9,abc_corrected,0.9629304029304031,0.02584783163011032,0.002354398286790868,0.002292534541120087,5000,30
adult,ridge,9,dirichlet_strong,0.9698168498168499,0.025269522212231596,0.0016840572155560455,0.0017996489587808482,5000,30
adult,ridge,9,b1_uniform,0.8643223443223443,0.06893052711970211,0.0014313257383122022,0.0005377009156352243,5000,30
adult,ridge,9,b2_stratified,0.985934065934066,0.013779127262134773,0.00023987963121386506,0.00028895818093324123,5000,30
adult,rf,0,abc_corrected,0.9453479853479853,0.053059919870593254,0.007989045634495245,0.007871378918133814,5000,30
adult,rf,0,dirichlet_strong,0.9462271062271062,0.046180816586326286,0.005176571415717843,0.005591999036414951,5000,30
adult,rf,0,b1_uniform,0.9123809523809524,0.03784533416398387,0.005804008962695154,0.0034534355959243306,5000,30
adult,rf,0,b2_stratified,0.9885714285714287,0.00695932136969251,0.00037520209877519765,0.00035978217670091926,5000,30
adult,rf,1,abc_corrected,0.8947985347985349,0.08305973683762351,0.0005155725606226768,0.0005004634476831088,5000,30
